site,status,status_order
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Outstanding <= 90 days,2
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Received,1
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding > 90 days,3
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 1,Outstanding <= 90 days,2
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
Site 2,Received,1
